Bitacora de Multichat
Fecha|                   |Correo|                            |Comando|   |Resultado|    |Host|                   |UserAgent|                       |Remote Address
2016-09-23 13:31:20       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:31:20       |nesty@localhost       |confirmacion de entrega   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:38:45       |nesty@localhost       |52463552*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:14       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:19       |nesty@localhost       |confirmacion de entrega   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:55       |nesty@localhost       |53687456*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:56       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:56       |nesty@localhost       |confirmacion de entrega   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:56       |nesty@localhost       |56452314*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:39:57       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
